Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3ywzBUkk3b616VzM4I5PzL","Torn","Natalie Imbruglia","Left Of The Middle / White Lillies Island","1","1","244893","spotify:user:transceend","2016-03-23T23:40:22Z"
"spotify:track:18AJRdgUoO9EYn11N7xzaT","Habits (Stay High)","Tove Lo","Queen Of The Clouds","1","13","209160","spotify:user:transceend","2016-03-23T23:57:01Z"
"spotify:track:6CiAALYSuwHoEJNNiqC2X5","Mona Lisa (When The World Comes Down)","The All-American Rejects","When The World Comes Down","1","5","194800","spotify:user:transceend","2016-10-29T04:07:52Z"
