Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4UB3TaEGEY9WoOpxYNMgy4","The Safety Dance","Men Without Hats","The Safety Dance","1","1","164866","spotify:user:transceend","2016-12-03T14:22:38Z"
"spotify:track:1BY1Vd2Bt6JPOhMvsIwtVv","Dancing With Myself","Billy Idol","Vital Idol","1","2","359733","spotify:user:transceend","2016-12-03T14:27:39Z"
"spotify:track:4kbj5MwxO1bq9wjT5g9HaA","Shut Up and Dance","WALK THE MOON","TALKING IS HARD","1","3","199080","spotify:user:transceend","2016-12-18T18:34:33Z"
